score,perplexity,parse_ok,repetition,ascii_ratio,code_complexity,tokens,len,lang,path,chunk_id,n_chunks,repo,near_dup,near_dup_simhash,near_dup_minhash,minhash_jaccard,minhash_dup_of,gopher_quality,gopher_flags,hamdist
67.37,2.845,1.0,0.3046,1.0,0.5174,111,515,Python,tests/scenario/conftest.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",8
71.07,2.605,1.0,0.5387,1.0,0.5011,1437,5873,Python,tests/scenario/test_existed.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",2
64.69,1.968,0.0,0.4337,1.0,0.4124,2040,7754,Python,tests/scenario/test_issues.py,1,4,chinapandaman/PyPDFForm,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",3
50.14,2.016,0.0,0.6417,1.0,0.4437,1593,6436,Python,tests/scenario/test_issues.py,2,4,chinapandaman/PyPDFForm,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",4
51.4,2.204,0.0,0.5643,1.0,0.4423,1566,6032,Python,tests/scenario/test_issues.py,3,4,chinapandaman/PyPDFForm,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",3
51.54,2.541,0.0,0.4704,0.9932,0.5008,1294,4402,Python,tests/scenario/test_issues.py,4,4,chinapandaman/PyPDFForm,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",2
66.35,1.815,1.0,0.6195,1.0,0.4769,877,3856,Python,tests/scenario/test_tools.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.4297,e1b679c3fce5eb0742c32bd949582eaf4ba32d6e2281cb033be8af4cd7dd67b5,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",2
73.17,2.144,1.0,0.5273,1.0,0.5058,1423,6946,Python,tests/test_adobe_mode.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.3828,d3764b933eed7ae6637fa2773dde3f25cab9dbce501815cf918a5f7e3d7100b8,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",4
50.08,1.426,0.0,0.8005,1.0,0.5084,1730,8268,Python,tests/test_create_widget.py,1,6,chinapandaman/PyPDFForm,False,False,False,0.375,60e0ab7926bd1325f2d23d50d74808536f17fddbaedad5f01e15fa1d9f32a39e,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",3
14.63,1.364,0.0,0.833,1.0,0.5092,1618,7841,Python,tests/test_create_widget.py,2,6,chinapandaman/PyPDFForm,True,True,False,0.5078,77221acf24bfbf8c58af5e8cddeafbe18a7e48b5f32b6a303c918c3c17da20d5,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",1
15.16,1.625,0.0,0.7311,1.0,0.5227,1593,7594,Python,tests/test_create_widget.py,3,6,chinapandaman/PyPDFForm,True,True,False,0.6016,77221acf24bfbf8c58af5e8cddeafbe18a7e48b5f32b6a303c918c3c17da20d5,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",1
15.56,1.716,0.0,0.6943,1.0,0.4985,1713,8089,Python,tests/test_create_widget.py,4,6,chinapandaman/PyPDFForm,True,True,False,0.5547,eb3738aa783fa089a540ae4a6946dc0688a33a775da8318ad07e1ae0e99053c1,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",1
15.61,1.537,0.0,0.7414,1.0,0.5083,1866,9235,Python,tests/test_create_widget.py,5,6,chinapandaman/PyPDFForm,True,True,False,0.4844,19d6e737d473182266ee3c764f0bf76819831ce2769a9ab849ca94057148a895,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",1
66.7,1.686,1.0,0.6616,1.0,0.5188,765,4109,Python,tests/test_create_widget.py,6,6,chinapandaman/PyPDFForm,False,False,False,0.5078,1f1028a752978f9ff65e4edd94199551a10929fa25688693062f34a6a90f3490,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",5
48.42,1.3,0.0,0.8024,1.0,0.507,1725,7553,Python,tests/test_dropdown.py,1,2,chinapandaman/PyPDFForm,False,False,False,0.3984,79146325033867f8a731e856a67e9db8b9fa9c277c63ce6bc0b79a98a94eedc9,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",4
14.74,1.523,0.0,0.7502,1.0,0.5124,1423,6622,Python,tests/test_dropdown.py,2,2,chinapandaman/PyPDFForm,True,True,False,0.5078,41cc3406efa06878e946cd424aa19e398a639eeac9ba99f09607179eb60ca5ba,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",1
68.66,2.662,1.0,0.3594,1.0,0.5004,484,1972,Python,tests/test_extract_values.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",6
14.53,1.263,0.0,0.8647,1.0,0.4945,1660,7967,Python,tests/test_fill_max_length_text_field.py,1,2,chinapandaman/PyPDFForm,True,True,False,0.3828,7dc4fdae0db5c9b1640d68c9eb8bfcf57a434a7721c5fe22eef24c567f098f5a,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",1
13.85,1.493,0.0,0.7858,1.0,0.4999,1068,5152,Python,tests/test_fill_max_length_text_field.py,2,2,chinapandaman/PyPDFForm,True,True,False,0.7891,7f5efb281bd890760a7275fb95e182c0dd7e16cde1946ca3ee1aa92ddd8ba981,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",0
19.53,1.608,1.0,0.7028,1.0,0.5038,907,4061,Python,tests/test_fill_method.py,1,1,chinapandaman/PyPDFForm,True,True,False,0.3047,31a4e764912ae1621bf679a73d65da185552e3ddcad9d760bb5693247ac187bf,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",1
74.9,2.76,1.0,0.2844,1.0,0.4459,1014,4137,Python,tests/test_font_widths.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",7
50.3,1.633,0.0,0.7096,1.0,0.5016,1765,8009,Python,tests/test_functional.py,1,5,chinapandaman/PyPDFForm,False,False,False,0.2812,026d8f58877e5e1b85f2724ac286d8a15ccc064a20130407fbad5ff89d9dd963,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",2
51.21,1.494,0.0,0.7453,1.0,0.5072,1742,7638,Python,tests/test_functional.py,2,5,chinapandaman/PyPDFForm,False,False,False,0.3281,7f5efb281bd890760a7275fb95e182c0dd7e16cde1946ca3ee1aa92ddd8ba981,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",3
16.42,2.295,0.0,0.5076,1.0,0.5,1631,7475,Python,tests/test_functional.py,3,5,chinapandaman/PyPDFForm,True,True,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",1
50.38,1.677,0.0,0.6816,1.0,0.4806,1705,7556,Python,tests/test_functional.py,4,5,chinapandaman/PyPDFForm,False,False,False,0.3203,31a4e764912ae1621bf679a73d65da185552e3ddcad9d760bb5693247ac187bf,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",2
15.15,1.644,0.0,0.6791,1.0,0.4749,1717,7683,Python,tests/test_functional.py,5,5,chinapandaman/PyPDFForm,True,True,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",1
15.23,1.434,0.0,0.8025,1.0,0.4888,1855,9030,Python,tests/test_paragraph.py,1,2,chinapandaman/PyPDFForm,True,True,False,0.4453,45da0cabe149b924ab290b56fcf8feb2f9a4ec91fb63f63ff2856b237d8aedad,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",1
46.37,1.46,0.0,0.8155,1.0,0.4125,1238,6421,Python,tests/test_paragraph.py,2,2,chinapandaman/PyPDFForm,False,False,False,0.5781,1677aaf2a3d0393ce360d9ba62b102eb805ea33b210080ca933e4a91c7c91fee,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",4
66.09,1.504,1.0,0.7488,1.0,0.4639,1224,5879,Python,tests/test_signature.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.3828,e1b679c3fce5eb0742c32bd949582eaf4ba32d6e2281cb033be8af4cd7dd67b5,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",2
65.1,2.762,1.0,0.4848,1.0,0.4557,348,1493,Python,tests/test_use_full_widget_name.py,1,1,chinapandaman/PyPDFForm,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",7
14.81,1.452,0.0,0.7582,1.0,0.4863,1761,7782,Python,tests/test_widget_attr_trigger.py,1,3,chinapandaman/PyPDFForm,True,True,False,0.3438,77221acf24bfbf8c58af5e8cddeafbe18a7e48b5f32b6a303c918c3c17da20d5,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",0
14.63,1.444,0.0,0.7857,1.0,0.4891,1750,7857,Python,tests/test_widget_attr_trigger.py,2,3,chinapandaman/PyPDFForm,True,True,False,0.5078,af9f9006228c34b6206b14f3f7432f9bf3c0d21d6bfb9b828b98290900007d7e,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",0
14.51,13.943,0.0,0.0438,1.0,0.5386,113,518,Python,tests/test_widget_attr_trigger.py,3,3,chinapandaman/PyPDFForm,True,True,False,0.3828,19501fff7d6522eef69cb60a6ee83a3f1d5a9a111cec889cbc2fdc9e2933011d,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",0
